               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.050908,            0.025805,           0.0025593,             0.72598,             0.80839,              0.8465,             0.55161,            0.014115,            0.005626,          0.00027031,           0.0040105,           0.0040105,           0.0040105
                 123,            0.049056,            0.019831,           0.0077238,             0.71721,             0.80612,               0.764,             0.45088,            0.012762,           0.0050917,          0.00030971,            0.003961,            0.003961,            0.003961
                 124,            0.053075,            0.020203,          0.00086851,             0.71721,             0.80612,               0.764,             0.45088,            0.012762,           0.0050917,          0.00030971,           0.0039115,           0.0039115,           0.0039115
                 125,            0.037787,            0.017327,           0.0025007,             0.74274,              0.8051,              0.8465,             0.56186,            0.011549,           0.0049252,          0.00033654,            0.003862,            0.003862,            0.003862
                 126,            0.038758,            0.016455,           0.0015182,             0.74274,              0.8051,              0.8465,             0.56186,            0.011549,           0.0049252,          0.00033654,           0.0038125,           0.0038125,           0.0038125
                 127,            0.038897,             0.01647,           0.0009183,             0.89766,             0.76796,             0.95375,             0.60623,            0.012606,           0.0047483,          0.00045002,            0.003763,            0.003763,            0.003763
                 128,            0.023767,            0.014656,          0.00095517,             0.89766,             0.76796,             0.95375,             0.60623,            0.012606,           0.0047483,          0.00045002,           0.0037135,           0.0037135,           0.0037135
                 129,            0.055884,            0.016668,           0.0014136,              0.8903,             0.75648,             0.95375,             0.51579,            0.010621,           0.0049502,          0.00048169,            0.003664,            0.003664,            0.003664
                 130,            0.042266,            0.017774,            0.003269,              0.8903,             0.75648,             0.95375,             0.51579,            0.010621,           0.0049502,          0.00048169,           0.0036145,           0.0036145,           0.0036145
                 131,            0.040584,            0.021438,           0.0013519,             0.73947,             0.78136,             0.88775,             0.42376,            0.010303,           0.0050292,          0.00049539,            0.003565,            0.003565,            0.003565
                 132,            0.036982,            0.015501,            0.001255,             0.73947,             0.78136,             0.88775,             0.42376,            0.010303,           0.0050292,          0.00049539,           0.0035155,           0.0035155,           0.0035155
                 133,            0.040501,            0.015701,            0.003686,             0.74695,             0.95006,               0.929,             0.43671,            0.010347,           0.0049642,          0.00050521,            0.003466,            0.003466,            0.003466
                 134,            0.042603,            0.022781,           0.0020249,             0.74695,             0.95006,               0.929,             0.43671,            0.010347,           0.0049642,          0.00050521,           0.0034165,           0.0034165,           0.0034165
                 135,            0.038372,            0.022237,           0.0014352,             0.74922,             0.90993,             0.95375,              0.4285,            0.010584,           0.0048723,          0.00048344,            0.003367,            0.003367,            0.003367
